ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
7.93:  70.70113,91.45421,81.78366,box 3,4
7.95:  70.957,91.49116,81.78366,box 3,4
7.97:  71.20457,91.5269,81.78366,box 3,4
7.98:  71.45568,91.56316,81.78366,box 3,4
8:  71.6987,91.59825,81.78366,box 3,4
8.02:  71.94852,91.63432,81.78366,box 3,4
8.03:  72.19539,91.66998,81.78366,box 3,4
8.05:  72.44415,91.70589,81.78366,box 3,4
8.07:  72.68942,91.74131,81.78366,box 3,4
8.08:  72.93827,91.77724,81.78366,box 3,4
8.1:  73.18605,91.81302,81.78366,box 3,4
8.12:  73.4358,91.84908,81.78366,box 3,4
8.13:  73.67621,91.88379,81.78366,box 3,4
8.15:  73.9187,91.91881,81.78366,box 3,4
8.17:  74.16481,91.95435,81.78366,box 3,4
8.18:  74.4141,91.99034,81.78366,box 3,4
8.2:  74.66686,92.02683,81.78366,box 3,4
8.22:  74.92129,92.06357,81.78366,box 3,4
8.23:  75.16856,92.09927,81.78366,box 3,4
8.25:  75.416,92.135,81.78366,box 3,4
8.27:  75.66363,92.17076,81.78366,box 3,4
8.28:  75.89587,92.20429,81.78366,box 3,4
8.3:  76.14494,92.24026,81.78366,box 3,4
8.32:  76.39085,92.27576,81.78366,box 3,4
8.33:  76.64719,92.31278,81.78366,box 3,4
8.35:  76.90141,92.34949,81.78366,box 3,4
8.37:  77.1478,92.38506,81.78366,box 3,4
8.38:  77.39308,92.42049,81.78366,box 3,4
8.4:  77.63097,92.45483,81.78366,box 3,4
8.42:  77.88396,92.49136,81.78366,box 3,4
8.43:  78.13144,92.5271,81.78366,box 3,4
8.45:  78.37868,92.5628,81.78366,box 3,4
8.47:  78.62486,92.59834,81.78366,box 3,4
8.48:  78.87487,92.63445,81.78366,box 3,4
8.5:  79.12065,92.66993,81.78366,box 3,4
8.52:  79.37115,92.69943,83.28366,box 3,4
8.53:  79.61886,92.72205,84.78366,box 3,4
8.55:  79.86848,92.73826,86.28365,box 3,4
8.57:  80.10984,92.7476,87.78366,box 3,4
8.58:  80.3598,92.75072,89.28367,box 3,4
8.6:  80.6105,92.7473,90.78367,box 3,4
8.62:  80.85728,92.73746,92.28366,box 3,4
8.63:  81.11133,92.72134,93.63094,box 3,4
8.65:  81.36974,92.69953,94.82261,box 3,4
8.67:  81.6178,92.67405,95.86466,box 3,4
8.68:  81.86565,92.64468,96.75696,box 3,4
8.7:  82.11052,92.61244,97.50107,box 3,4
8.72:  82.35126,92.57819,98.09928,box 4,4
8.73:  82.59856,92.54102,98.54745,box 4,4
8.75:  82.84678,92.50239,98.84489,box 4,4
8.77:  83.08915,92.46403,98.99508,box 4,4
8.78:  83.33849,92.42455,98.99508,box 4,4
8.8:  83.5842,92.38566,98.99508,box 4,4
8.82:  83.83214,92.34641,98.99508,box 4,4
8.83:  84.07696,92.30766,98.99508,box 4,4
8.85:  84.32535,92.26834,98.99508,box 4,4
8.87:  84.5714,92.22939,98.99508,box 4,4
8.88:  84.81805,92.19035,98.99508,box 4,4
8.9:  85.06525,92.15121,98.99508,box 4,4
8.92:  85.3145,92.11176,98.99508,box 4,4
8.93:  85.5607,92.07278,98.99508,box 4,4
8.95:  85.80701,92.0338,98.99508,box 4,4
8.97:  86.05237,91.99496,98.99508,box 4,4
8.98:  86.30136,91.95554,98.99508,box 4,4
